Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Opponent
U17,Start,Pass,74,7,72,43,87,30,Oakwood
U17,Middle,Dribble,74,7,88,29,98,33,Oakwood
U17,Middle,Pass,74,7,98,33,95,59,Oakwood
U17,End,Cutback,74,7,95,58,-,-,Oakwood
U17,Solo,Penalty,74,7,11,50,-,-,Oakwood
U17,Start,Pass,74,7,61,72,71,68,Oakwood
U17,Middle,Dribble,74,7,70,68,82,64,Oakwood
U17,Middle,Pass,74,7,83,63,88,37,Oakwood
U17,End,Direct Play,74,7,94,40,-,-,Oakwood
U17,Start,Pass,74,7,75,38,87,39,Oakwood
U17,Middle,Dribble,74,7,87,39,94,43,Oakwood
U17,End,Sustained Possession,74,7,94,44,-,-,Oakwood
